SeqNo,Date,UTC Time,int_hor_pos(m),src_hor_pos(m),mrk_hor_pos(m),int_ver_pos(m),src_ver_pos(m),mrk_ver_pos(m),int_mas_trq(Nm),src_mas_trq(Nm),int_sla_trq(Nm),src_sla_trq(Nm),int_ver_trq(Nm),src_ver_trq(Nm),xray_active(-),error_code(-),rt_ts(ms)
89,2026-03-19,16:37:29.552,5.172607,5.172958,5.172311,0.423965,0.425301,0.429006,-0.360916,0.845575,-0.216550,0.752768,19.960938,16.284180,252.625000,-1.000000,2.002253
90,2026-03-19,16:37:29.554,5.172607,5.172958,5.172369,0.423965,0.425301,0.429016,-0.422787,1.072436,-0.319669,0.866199,19.926758,16.250000,252.375000,-1.000000,1.997594
91,2026-03-19,16:37:29.556,5.172607,5.172958,5.172447,0.423965,0.425301,0.429040,-0.402164,1.010565,-0.288733,0.763080,19.956055,16.284180,249.750000,-1.000000,2.004864
92,2026-03-19,16:37:29.558,5.172607,5.172958,5.172507,0.423965,0.425301,0.429030,-0.257797,0.752768,-0.226862,0.659961,19.956055,16.308594,252.437500,-1.000000,1.995728
93,2026-03-19,16:37:29.560,5.172607,5.172958,5.172551,0.423965,0.425301,0.429077,-0.134055,0.752768,-0.072183,0.587778,19.951172,16.289063,250.250000,-1.000000,2.000429
94,2026-03-19,16:37:29.562,5.172607,5.172958,5.172382,0.423965,0.425301,0.429070,-0.061871,0.587778,-0.051559,0.515594,20.000000,16.328125,252.375000,-1.000000,1.998680
95,2026-03-19,16:37:29.564,5.172607,5.172958,5.172511,0.423965,0.425301,0.429053,-0.257797,0.835263,-0.216550,0.732144,19.995117,16.337891,252.437500,-1.000000,1.996405
96,2026-03-19,16:37:29.566,5.172607,5.172951,5.172400,0.423965,0.425301,0.429057,-0.061871,0.649649,-0.030936,0.577466,19.980469,16.308594,255.187500,-1.000000,2.000010
97,2026-03-19,16:37:29.568,5.172607,5.172951,5.172379,0.423965,0.425301,0.429040,-0.257797,0.907446,-0.206238,0.742456,19.975586,16.303711,252.250000,-1.000000,2.002385
98,2026-03-19,16:37:29.570,5.172607,5.172951,5.172433,0.423965,0.425301,0.429053,-0.288733,0.855887,-0.226862,0.742456,19.985352,16.318359,254.062500,-1.000000,1.996559
99,2026-03-19,16:37:29.572,5.172607,5.172951,5.172433,0.423965,0.425301,0.429040,-0.247485,0.876511,-0.216550,0.639337,19.980469,16.318359,252.500000,-1.000000,2.002409
100,2026-03-19,16:37:29.574,5.172607,5.172951,5.172392,0.423965,0.425301,0.429053,-0.288733,0.866199,-0.185614,0.659961,19.975586,16.303711,252.687500,-1.000000,1.996525
101,2026-03-19,16:37:29.576,5.172607,5.172951,5.172366,0.423965,0.425301,0.429040,-0.319669,0.979629,-0.216550,0.721832,20.009766,16.318359,249.500000,-1.000000,1.998969
102,2026-03-19,16:37:29.578,5.172607,5.172951,5.172231,0.423965,0.425301,0.429070,-0.329980,0.928070,-0.299045,0.773392,19.975586,16.308594,252.062500,-1.000000,2.000692
103,2026-03-19,16:37:29.580,5.172607,5.172951,5.172099,0.423965,0.425301,0.429073,-0.587778,1.165244,-0.453723,0.948694,19.995117,16.362305,250.062500,-1.000000,2.001926
104,2026-03-19,16:37:29.582,5.172607,5.172951,5.172045,0.423965,0.425301,0.429043,-0.773392,1.433353,-0.680585,1.134308,20.000000,16.352539,251.812500,-1.000000,2.003510
105,2026-03-19,16:37:29.584,5.172607,5.172951,5.171940,0.423965,0.425301,0.429050,-0.938382,1.515848,-0.752768,1.258050,19.985352,16.313477,251.937500,-1.000000,1.996158
106,2026-03-19,16:37:29.586,5.172607,5.172943,5.172004,0.423965,0.425301,0.429043,-1.082748,1.691150,-0.886822,1.412729,19.995117,16.313477,254.625000,-1.000000,2.000071
107,2026-03-19,16:37:29.588,5.172607,5.172943,5.171967,0.423965,0.425301,0.429006,-1.000253,1.557095,-0.783704,1.288986,19.985352,16.323242,251.937500,-1.000000,2.000407
108,2026-03-19,16:37:29.590,5.172607,5.172943,5.171974,0.423965,0.425301,0.429019,-1.041501,1.588031,-0.876511,1.340546,19.931641,16.274414,254.125000,-1.000000,1.996483
109,2026-03-19,16:37:29.592,5.172607,5.172935,5.171930,0.423965,0.425301,0.429040,-1.062125,1.608655,-0.855887,1.299298,19.960938,16.279297,252.250000,-1.000000,1.999274
110,2026-03-19,16:37:29.594,5.172607,5.172935,5.171954,0.423965,0.425301,0.429023,-1.103372,1.649902,-0.897134,1.340546,19.970703,16.303711,252.750000,-1.000000,2.000339
111,2026-03-19,16:37:29.596,5.172607,5.172928,5.172055,0.423965,0.425301,0.429030,-1.103372,1.505536,-0.835263,1.237427,19.960938,16.289063,249.250000,-1.000000,2.001519
112,2026-03-19,16:37:29.598,5.172577,5.172920,5.171978,0.423965,0.425301,0.429057,-0.855887,1.392105,-0.742456,1.134308,19.956055,16.293945,252.500000,-1.000000,1.999313
113,2026-03-19,16:37:29.600,5.172577,5.172913,5.171859,0.423965,0.425301,0.429060,-1.020877,1.433353,-0.824951,1.175555,19.990234,16.303711,250.187500,-1.000000,1.996834
114,2026-03-19,16:37:29.602,5.172577,5.172913,5.171933,0.423965,0.425301,0.429084,-1.123996,1.546783,-0.928070,1.278674,20.014648,16.308594,252.187500,-1.000000,2.002650
115,2026-03-19,16:37:29.604,5.172577,5.172913,5.171923,0.423965,0.425301,0.429067,-1.031189,1.423041,-0.866199,1.175555,20.014648,16.323242,252.000000,-1.000000,1.995965
116,2026-03-19,16:37:29.606,5.172577,5.172913,5.172075,0.423965,0.425301,0.429019,-1.062125,1.381793,-0.876511,1.165244,20.004883,16.323242,255.312500,-1.000000,1.998141
117,2026-03-19,16:37:29.608,5.172577,5.172913,5.171943,0.423965,0.425301,0.429019,-0.804327,1.165244,-0.649649,0.907446,19.951172,16.269531,251.812500,-1.000000,2.003754
118,2026-03-19,16:37:29.610,5.172577,5.172913,5.172055,0.423965,0.425301,0.429016,-1.010565,1.309610,-0.814639,1.113684,19.970703,16.274414,254.312500,-1.000000,1.997956
119,2026-03-19,16:37:29.612,5.172577,5.172913,5.171974,0.423965,0.425301,0.429046,-0.824951,1.165244,-0.670273,0.928070,19.956055,16.284180,252.500000,-1.000000,2.006291
120,2026-03-19,16:37:29.614,5.172577,5.172913,5.171991,0.423965,0.425301,0.429073,-0.979629,1.227115,-0.814639,1.072436,19.985352,16.308594,252.625000,-1.000000,1.993387
121,2026-03-19,16:37:29.616,5.172577,5.172913,5.172045,0.423965,0.425301,0.429023,-0.979629,1.278674,-0.742456,1.010565,20.000000,16.333008,248.937500,-1.000000,1.996147
122,2026-03-19,16:37:29.618,5.172577,5.172913,5.171984,0.423965,0.425301,0.429084,-0.897134,1.268362,-0.711520,0.989941,19.951172,16.284180,252.375000,-1.000000,2.000550
123,2026-03-19,16:37:29.620,5.172577,5.172913,5.171964,0.423965,0.425301,0.429063,-0.989941,1.361169,-0.824951,1.103372,20.014648,16.342773,250.937500,-1.000000,2.001321
124,2026-03-19,16:37:29.622,5.172577,5.172913,5.172038,0.423965,0.425301,0.429053,-1.020877,1.319922,-0.814639,1.103372,19.995117,16.328125,252.062500,-1.000000,1.996946
125,2026-03-19,16:37:29.624,5.172577,5.172913,5.171886,0.423965,0.425301,0.429077,-0.917758,1.309610,-0.773392,1.072436,19.990234,16.293945,252.500000,-1.000000,1.998283
126,2026-03-19,16:37:29.626,5.172577,5.172913,5.171889,0.423965,0.425301,0.429046,-1.154932,1.588031,-0.959006,1.288986,20.000000,16.342773,255.437500,-1.000000,1.999741
127,2026-03-19,16:37:29.628,5.172577,5.172913,5.171829,0.423965,0.425301,0.429046,-1.165244,1.588031,-0.928070,1.278674,19.970703,16.313477,252.187500,-1.000000,2.000520
128,2026-03-19,16:37:29.630,5.172577,5.172913,5.171916,0.423965,0.425301,0.429080,-1.268362,1.711774,-1.041501,1.392105,19.970703,16.308594,253.687500,-1.000000,2.000207
129,2026-03-19,16:37:29.632,5.172577,5.172905,5.171896,0.423965,0.425301,0.429087,-1.144620,1.557095,-0.959006,1.309610,20.004883,16.337891,252.125000,-1.000000,1.995864
130,2026-03-19,16:37:29.634,5.172577,5.172905,5.171913,0.423965,0.425301,0.429077,-1.165244,1.649902,-0.959006,1.350857,20.009766,16.347656,253.312500,-1.000000,2.005050
131,2026-03-19,16:37:29.636,5.172577,5.172905,5.172183,0.423965,0.425301,0.429033,-1.175555,1.577719,-0.897134,1.268362,20.014648,16.337891,249.250000,-1.000000,1.997912
132,2026-03-19,16:37:29.638,5.172577,5.172905,5.171980,0.423965,0.425301,0.429040,-0.732144,1.227115,-0.556842,0.938382,19.975586,16.298828,252.062500,-1.000000,1.999795
133,2026-03-19,16:37:29.640,5.172577,5.172905,5.171849,0.423965,0.425301,0.429067,-1.051813,1.577719,-0.824951,1.216803,19.995117,16.284180,250.562500,-1.000000,1.998118
134,2026-03-19,16:37:29.642,5.172577,5.172905,5.171825,0.423965,0.425301,0.429053,-1.227115,1.711774,-0.989941,1.361169,20.009766,16.323242,251.812500,-1.000000,2.005329
135,2026-03-19,16:37:29.644,5.172577,5.172905,5.171842,0.423965,0.425301,0.429114,-1.278674,1.753021,-1.051813,1.433353,19.995117,16.318359,251.750000,-1.000000,1.997757
136,2026-03-19,16:37:29.646,5.172577,5.172897,5.171913,0.423965,0.425301,0.429073,-1.258050,1.753021,-1.031189,1.412729,20.058594,16.372070,255.687500,-1.000000,1.996415
137,2026-03-19,16:37:29.648,5.172577,5.172897,5.172068,0.423965,0.425301,0.429121,-1.134308,1.608655,-0.917758,1.299298,20.004883,16.333008,251.937500,-1.000000,1.996266
138,2026-03-19,16:37:29.650,5.172577,5.172897,5.172149,0.423965,0.425301,0.429107,-0.876511,1.381793,-0.752768,1.093060,20.063477,16.372070,253.500000,-1.000000,2.002214
139,2026-03-19,16:37:29.652,5.172577,5.172897,5.172079,0.423965,0.425301,0.429107,-0.794015,1.154932,-0.618713,0.969318,20.034180,16.367188,252.375000,-1.000000,1.999755
140,2026-03-19,16:37:29.654,5.172577,5.172897,5.172014,0.423965,0.425301,0.429101,-0.897134,1.288986,-0.690897,1.072436,20.034180,16.362305,252.687500,-1.000000,2.000463
141,2026-03-19,16:37:29.656,5.172577,5.172897,5.172028,0.423965,0.425301,0.429114,-0.959006,1.361169,-0.752768,1.103372,20.019531,16.352539,248.875000,-1.000000,1.996681
142,2026-03-19,16:37:29.658,5.172577,5.172897,5.172085,0.423965,0.425301,0.429141,-0.979629,1.402417,-0.773392,1.113684,20.034180,16.362305,252.250000,-1.000000,1.999445
